Bird,Song,Block,Time,Played
CB3,BDY-,1,6:30 AM,0
CB3,LB-,1,8:00 AM,0
CB3,BDY,1,9:30 AM,0
CB3,LB,1,11:00 AM,0
CB3,DMG,1,12:30 PM,0
CB3,BOD,1,2:00 PM,0
CB3,LB-,2,3:30 PM,0
CB3,BOD,2,5:00 PM,0
CB3,BDY,2,6:30 AM,0
CB3,LB,2,8:00 AM,0
CB3,DMG,2,9:30 AM,0
CB3,BDY-,2,11:00 AM,0
CB3,BDY,3,12:30 PM,0
CB3,BDY-,3,2:00 PM,0
CB3,LB,3,3:30 PM,0
CB3,LB-,3,5:00 PM,0
CB3,DMG,3,6:30 AM,0
CB3,BOD,3,8:00 AM,0
CB3,BOD,4,9:30 AM,0
CB3,DMG,4,11:00 AM,0
CB3,BDY,4,12:30 PM,0
CB3,BDY-,4,2:00 PM,0
CB3,LB-,4,3:30 PM,0
CB3,LB,4,5:00 PM,0
CB3,BDY,5,6:30 AM,0
CB3,BOD,5,8:00 AM,0
CB3,LB-,5,9:30 AM,0
CB3,LB,5,11:00 AM,0
CB3,DMG,5,12:30 PM,0
CB3,BDY-,5,2:00 PM,0
CB3,BOD,6,3:30 PM,0
CB3,BDY-,6,5:00 PM,0
CB3,BDY,6,6:30 AM,0
CB3,LB,6,8:00 AM,0
CB3,DMG,6,9:30 AM,0
CB3,LB-,6,11:00 AM,0
CB3,BDY-,7,12:30 PM,0
CB3,BDY,7,2:00 PM,0
CB3,DMG,7,3:30 PM,0
CB3,LB,7,5:00 PM,0
CB3,LB-,7,6:30 AM,0
CB3,BOD,7,8:00 AM,0
CB3,DMG,8,9:30 AM,0
CB3,BDY,8,11:00 AM,0
CB3,LB-,8,12:30 PM,0
CB3,BDY-,8,2:00 PM,0
CB3,LB,8,3:30 PM,0
CB3,BOD,8,5:00 PM,0
CB3,BDY,9,6:30 AM,0
CB3,LB-,9,8:00 AM,0
CB3,BDY-,9,9:30 AM,0
CB3,LB,9,11:00 AM,0
CB3,BOD,9,12:30 PM,0
CB3,DMG,9,2:00 PM,0
CB3,DMG,10,3:30 PM,0
CB3,BDY,10,5:00 PM,0
CB3,BOD,10,6:30 AM,0
CB3,LB-,10,8:00 AM,0
CB3,LB,10,9:30 AM,0
CB3,BDY-,10,11:00 AM,0
CB3,DMG,11,12:30 PM,0
CB3,BOD,11,2:00 PM,0
CB3,BDY,11,3:30 PM,0
CB3,LB,11,5:00 PM,0
CB3,LB-,11,6:30 AM,0
CB3,BDY-,11,8:00 AM,0
CB3,LB,12,9:30 AM,0
CB3,BOD,12,11:00 AM,0
CB3,DMG,12,12:30 PM,0
CB3,LB-,12,2:00 PM,0
CB3,BDY-,12,3:30 PM,0
CB3,BDY,12,5:00 PM,0
CB3,DMG,13,6:30 AM,0
CB3,BDY-,13,8:00 AM,0
CB3,LB-,13,9:30 AM,0
CB3,LB,13,11:00 AM,0
CB3,BOD,13,12:30 PM,0
CB3,BDY,13,2:00 PM,0
CB3,LB,14,3:30 PM,0
CB3,BOD,14,5:00 PM,0
CB3,BDY-,14,6:30 AM,0
CB3,LB-,14,8:00 AM,0
CB3,BDY,14,9:30 AM,0
CB3,DMG,14,11:00 AM,0
CB3,BDY-,15,12:30 PM,0
CB3,LB-,15,2:00 PM,0
CB3,BOD,15,3:30 PM,0
CB3,DMG,15,5:00 PM,0
CB3,BDY,15,6:30 AM,0
CB3,LB,15,8:00 AM,0
CB3,LB-,16,9:30 AM,0
CB3,BDY,16,11:00 AM,0
CB3,BOD,16,12:30 PM,0
CB3,LB,16,2:00 PM,0
CB3,DMG,16,3:30 PM,0
CB3,BDY-,16,5:00 PM,0
