Bird,Song,Day,Time,Played
CB0,BOD,1,6:30 AM,2018-05-02 18:03:47.003891
CB0,LB-,1,8:00 AM,0
CB0,BDY,1,9:30 AM,0
CB0,BDY-,1,11:00 AM,0
CB0,ND,1,12:30 PM,0
CB0,LB,1,2:00 PM,0
CB0,LB-,2,3:30 PM,0
CB0,BOD,2,5:00 PM,0
CB0,BDY-,2,6:30 AM,0
CB0,ND,2,8:00 AM,0
CB0,BDY,2,9:30 AM,0
CB0,LB,2,11:00 AM,0
CB0,BDY-,3,12:30 PM,0
CB0,BOD,3,2:00 PM,0
CB0,LB-,3,3:30 PM,0
CB0,LB,3,5:00 PM,0
CB0,ND,3,6:30 AM,0
CB0,BDY,3,8:00 AM,0
CB0,BOD,4,9:30 AM,0
CB0,LB-,4,11:00 AM,0
CB0,BDY,4,12:30 PM,0
CB0,ND,4,2:00 PM,0
CB0,LB,4,3:30 PM,0
CB0,BDY-,4,5:00 PM,0
CB0,ND,5,6:30 AM,0
CB0,BOD,5,8:00 AM,0
CB0,BDY,5,9:30 AM,0
CB0,LB-,5,11:00 AM,0
CB0,LB,5,12:30 PM,0
CB0,BDY-,5,2:00 PM,0
CB0,LB-,6,3:30 PM,0
CB0,BOD,6,5:00 PM,0
CB0,BDY,6,6:30 AM,0
CB0,ND,6,8:00 AM,0
CB0,BDY-,6,9:30 AM,0
CB0,LB,6,11:00 AM,0
CB0,BDY,7,12:30 PM,0
CB0,BOD,7,2:00 PM,0
CB0,LB,7,3:30 PM,0
CB0,ND,7,5:00 PM,0
CB0,LB-,7,6:30 AM,0
CB0,BDY-,7,8:00 AM,0
CB0,LB-,8,9:30 AM,0
CB0,LB,8,11:00 AM,0
CB0,BDY,8,12:30 PM,0
CB0,BOD,8,2:00 PM,0
CB0,ND,8,3:30 PM,0
CB0,BDY-,8,5:00 PM,0
CB0,BDY,9,6:30 AM,0
CB0,LB-,9,8:00 AM,0
CB0,BDY-,9,9:30 AM,0
CB0,LB,9,11:00 AM,0
CB0,ND,9,12:30 PM,0
CB0,BOD,9,2:00 PM,0
CB0,BDY,10,3:30 PM,0
CB0,BOD,10,5:00 PM,0
CB0,LB,10,6:30 AM,0
CB0,ND,10,8:00 AM,0
CB0,BDY-,10,9:30 AM,0
CB0,LB-,10,11:00 AM,0
CB0,LB,11,12:30 PM,0
CB0,LB-,11,2:00 PM,0
CB0,BOD,11,3:30 PM,0
CB0,BDY-,11,5:00 PM,0
CB0,BDY,11,6:30 AM,0
CB0,ND,11,8:00 AM,0
CB0,LB-,12,9:30 AM,0
CB0,ND,12,11:00 AM,0
CB0,BDY-,12,12:30 PM,0
CB0,BOD,12,2:00 PM,0
CB0,LB,12,3:30 PM,0
CB0,BDY,12,5:00 PM,0
CB0,ND,13,6:30 AM,0
CB0,BDY-,13,8:00 AM,0
CB0,LB-,13,9:30 AM,0
CB0,BDY,13,11:00 AM,0
CB0,LB,13,12:30 PM,0
CB0,BOD,13,2:00 PM,0
CB0,ND,14,3:30 PM,0
CB0,BDY,14,5:00 PM,0
CB0,LB-,14,6:30 AM,0
CB0,BOD,14,8:00 AM,0
CB0,BDY-,14,9:30 AM,0
CB0,LB,14,11:00 AM,0
CB0,BDY-,15,12:30 PM,0
CB0,BOD,15,2:00 PM,0
CB0,ND,15,3:30 PM,0
CB0,LB,15,5:00 PM,0
CB0,LB-,15,6:30 AM,0
CB0,BDY,15,8:00 AM,0
CB0,LB-,16,9:30 AM,0
CB0,BDY,16,11:00 AM,0
CB0,BDY-,16,12:30 PM,0
CB0,LB,16,2:00 PM,0
CB0,BOD,16,3:30 PM,0
CB0,ND,16,5:00 PM,0
